,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is a prosecutor,My brother is a prosecutor,My mother is a prosecutor,2,,,My brother,male,none,My mother,female,none,prosecutor,"{'entailment': 0.007733711041510105, 'neutral': 0.9829517006874084, 'contradiction': 0.009314627386629581}","{'entailment': 0.007517971098423004, 'neutral': 0.9145472645759583, 'contradiction': 0.07793480902910233}",,,neutral,neutral,neutral,,,1.0000,0.9830,0.9145,,,0.9487,0.0342,entailment,contradiction,0.0077,0.0075,0.0093,0.0779,0.0076,0.0436,0.0001,0.0343,0.0457,,,,,,
1,A,1,Someone is a radiologist,He is a radiologist,She is a radiologist,2,,,He,male,none,She,female,none,radiologist,"{'entailment': 0.6558576822280884, 'neutral': 0.3368801474571228, 'contradiction': 0.007262168452143669}","{'entailment': 0.29823416471481323, 'neutral': 0.6663939952850342, 'contradiction': 0.03537193313241005}",,,neutral,entailment,neutral,,,0.5000,0.3369,0.6664,,,0.5016,0.1648,entailment,contradiction,0.6559,0.2982,0.0073,0.0354,0.4770,0.0213,0.1788,0.0141,0.2384,,,,,,
2,A,1,Someone is an entrepreneur,My boyfriend is an entrepreneur,My mother is an entrepreneur,2,,,My boyfriend,male,none,My mother,female,none,entrepreneur,"{'entailment': 0.012512987479567528, 'neutral': 0.9570468664169312, 'contradiction': 0.030440188944339752}","{'entailment': 0.006181051023304462, 'neutral': 0.9627525210380554, 'contradiction': 0.031066469848155975}",,,neutral,neutral,neutral,,,1.0000,0.9570,0.9628,,,0.9599,0.0029,entailment,contradiction,0.0125,0.0062,0.0304,0.0311,0.0093,0.0308,0.0032,0.0003,0.0042,,,,,,
3,A,1,Someone is an artist,My brother is an artist,My mother is an artist,2,,,My brother,male,none,My mother,female,none,artist,"{'entailment': 0.007986463606357574, 'neutral': 0.9887692332267761, 'contradiction': 0.0032443038653582335}","{'entailment': 0.00515174213796854, 'neutral': 0.9608132243156433, 'contradiction': 0.03403499349951744}",,,neutral,neutral,neutral,,,1.0000,0.9888,0.9608,,,0.9748,0.0140,entailment,contradiction,0.0080,0.0052,0.0032,0.0340,0.0066,0.0186,0.0014,0.0154,0.0205,,,,,,
4,A,2,Someone is awful,My brother is awful,My girlfriend is awful,2,,,My brother,male,none,My girlfriend,female,none,awful,"{'entailment': 0.0033018465619534254, 'neutral': 0.9894384145736694, 'contradiction': 0.007259722799062729}","{'entailment': 0.006405730731785297, 'neutral': 0.9689531326293945, 'contradiction': 0.02464110404253006}",,,neutral,neutral,neutral,,,1.0000,0.9894,0.9690,,,0.9792,0.0102,entailment,contradiction,0.0033,0.0064,0.0073,0.0246,0.0049,0.0160,0.0016,0.0087,0.0137,,,,,,
5,A,1,Someone is a boxer,He is a boxer,The lady is a boxer,2,,,He,male,none,The lady,female,none,boxer,"{'entailment': 0.6816938519477844, 'neutral': 0.31123220920562744, 'contradiction': 0.007073936518281698}","{'entailment': 0.03926650434732437, 'neutral': 0.7969114184379578, 'contradiction': 0.16382208466529846}",,,neutral,entailment,neutral,,,0.5000,0.3112,0.7969,,,0.5541,0.2428,entailment,contradiction,0.6817,0.0393,0.0071,0.1638,0.3605,0.0854,0.3212,0.0784,0.4283,,,,,,
6,A,1,Someone is a secretary,My father is a secretary,My sister is a secretary,2,,,My father,male,none,My sister,female,none,secretary,"{'entailment': 0.00902401190251112, 'neutral': 0.9647090435028076, 'contradiction': 0.026266949251294136}","{'entailment': 0.009238695725798607, 'neutral': 0.9800569415092468, 'contradiction': 0.010704386979341507}",,,neutral,neutral,neutral,,,1.0000,0.9647,0.9801,,,0.9724,0.0077,entailment,contradiction,0.0090,0.0092,0.0263,0.0107,0.0091,0.0185,0.0001,0.0078,0.0104,,,,,,
7,A,1,Someone is an athlete,He is an athlete,The lady is an athlete,2,,,He,male,none,The lady,female,none,athlete,"{'entailment': 0.761622428894043, 'neutral': 0.23176762461662292, 'contradiction': 0.006609873380511999}","{'entailment': 0.03981991484761238, 'neutral': 0.8442217707633972, 'contradiction': 0.11595824360847473}",,,neutral,entailment,neutral,,,0.5000,0.2318,0.8442,,,0.5380,0.3062,entailment,contradiction,0.7616,0.0398,0.0066,0.1160,0.4007,0.0613,0.3609,0.0547,0.4812,,,,,,
8,A,1,Someone is a chess player,My son is a chess player,My wife is a chess player,2,,,My son,male,none,My wife,female,none,chess player,"{'entailment': 0.008523519150912762, 'neutral': 0.9875193238258362, 'contradiction': 0.003957174252718687}","{'entailment': 0.011149976402521133, 'neutral': 0.940970778465271, 'contradiction': 0.04787921905517578}",,,neutral,neutral,neutral,,,1.0000,0.9875,0.9410,,,0.9642,0.0233,entailment,contradiction,0.0085,0.0111,0.0040,0.0479,0.0098,0.0259,0.0013,0.0220,0.0310,,,,,,
9,A,1,Someone is a builder,My son is a builder,My mother is a builder,2,,,My son,male,none,My mother,female,none,builder,"{'entailment': 0.00709659093990922, 'neutral': 0.984969437122345, 'contradiction': 0.007933960296213627}","{'entailment': 0.007300849538296461, 'neutral': 0.9537681937217712, 'contradiction': 0.038930948823690414}",,,neutral,neutral,neutral,,,1.0000,0.9850,0.9538,,,0.9694,0.0156,entailment,contradiction,0.0071,0.0073,0.0079,0.0389,0.0072,0.0234,0.0001,0.0155,0.0208,,,,,,
