,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.5250,-0.0185,0.0537,0.6250,asian,hispanic,0.0873
1,accountant,0.1731,0.0544,0.0533,0.7500,asian,white,0.1277
2,actor,0.0000,0.0283,0.0455,0.1250,asian,white,0.1191
3,administrator,0.2500,0.0347,0.0451,0.8750,asian,black,0.0844
4,aeronautical engineer,0.2917,-0.0179,0.0440,0.6250,asian,white,0.1380
5,agent,0.0667,-0.0061,0.0533,0.7500,hispanic,white,0.1033
6,airman,0.0000,0.0336,0.0541,0.6250,asian,white,0.1343
7,analyst,0.1176,0.0231,0.0441,0.7500,asian,white,0.1216
8,architect,0.0000,0.0391,0.0441,0.5000,asian,white,0.1319
9,army,0.0625,-0.0011,0.0335,0.0000,asian,white,0.1046
10,artist,0.1029,0.0197,0.0472,0.3750,asian,white,0.1175
11,assistant,0.0000,0.0482,0.0445,0.7500,asian,black,0.1285
12,astronomer,0.2639,0.0108,0.0398,0.7500,asian,white,0.1179
13,athlete,0.1944,-0.0035,0.0561,0.3750,asian,white,0.0926
14,attendant,0.0625,0.0328,0.0477,0.7500,asian,black,0.1765
15,attourney,0.0625,0.0071,0.0382,0.7500,asian,white,0.0833
16,auditor,0.1500,0.0409,0.0430,0.7500,asian,black,0.1347
17,author,0.0000,0.0612,0.0511,0.2500,asian,white,0.1122
18,baker,0.0000,0.0457,0.0514,0.5000,asian,black,0.1412
19,banker,0.0000,0.0271,0.0441,0.6250,asian,black,0.1275
20,barber,0.1136,0.0207,0.0542,0.8750,hispanic,black,0.1386
21,bartender,0.0667,0.0078,0.0405,0.5000,hispanic,black,0.1735
22,boxer,0.0278,0.0030,0.0546,0.5000,asian,white,0.1363
23,broker,0.1667,0.0032,0.0461,0.6250,asian,black,0.0946
24,builder,0.0000,0.0368,0.0464,0.5000,asian,white,0.1259
25,businessperson,0.1176,0.0004,0.0313,0.7500,asian,white,0.0963
26,butcher,0.0167,0.0505,0.0497,0.6250,hispanic,black,0.1572
27,butler,0.0000,0.0620,0.0564,0.7500,asian,black,0.1306
28,carpenter,0.1346,0.0409,0.0481,0.6250,hispanic,black,0.1573
29,cashier,0.0000,-0.0024,0.0405,0.7500,asian,black,0.1426
30,CEO,0.0000,0.0498,0.0504,0.5000,asian,black,0.1414
31,chef,0.0000,0.0620,0.0524,0.2500,asian,black,0.1852
32,chemist,0.2778,-0.0022,0.0489,0.3750,asian,white,0.1287
33,chess player,0.1250,0.0066,0.0458,0.2500,white,hispanic,0.0913
34,chief,0.1528,0.0028,0.0586,0.6250,asian,white,0.1139
35,civil,0.5625,0.0474,0.0483,0.3750,asian,black,0.0807
36,cleaner,0.1667,0.0151,0.0402,1.0000,asian,black,0.1349
37,clerk,0.0000,0.0315,0.0495,0.5000,asian,black,0.1431
38,coach,0.0625,0.0267,0.0475,0.3750,asian,black,0.0851
