,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.12626412519044242,0.08477463371830526,0.003338602291170875,0.002611172531032935,0.054247133432737876,0.20630129683064297,0.1588622498816112,0.0034380409682930354,0.002920646467326402,0.0928805585369684,0.07886201461301522,0.015686596200050026,0.061589012789700665,0.03762298005977889,0.04844015091563619,0.11944222217061962,0.003077115564455812,0.02665478812991446
nn1,0.8495871934741736,0.8968289641514421,0.9938760853149522,0.9915785542849836,0.9329676993063879,0.7727982537709177,0.8345013062693178,0.9941837577752664,0.9929797813810152,0.8986157747991292,0.669443436363276,0.6850732608952306,0.6669099433039708,0.5681609192319915,0.6473968899486172,0.7816781828888496,0.9931545446890544,0.626617090063611
cn1,0.024148680571001023,0.01839640303805936,0.0027853114395992645,0.005810278204895942,0.012785168313388898,0.020900451148772845,0.006636442736897152,0.0023781957603256467,0.00409957329774725,0.008503665735935723,0.25169455521601314,0.29924014532430604,0.2715010424745885,0.3942160997911906,0.30416296070152454,0.09887959586422201,0.0037683396756420257,0.3467281225577483
en2,0.05312182040722109,0.04644953310547862,0.0027909793589316625,0.0026419553193183423,0.02625107204773743,0.08284316657844465,0.08235735879838467,0.002924466016210458,0.0027927601306522586,0.04272943788092302,0.0774988222847435,0.01490088760461235,0.05875280161198442,0.05799689346066338,0.052287351240500914,0.06683725046437615,0.00278754020627818,0.03644889053263787
nn2,0.867365058913827,0.917060090765357,0.9936378207844747,0.986893547506168,0.9412391294924567,0.8213908944427967,0.8933756514526904,0.9944062812227599,0.993060710101292,0.9255583843048847,0.617615635090686,0.6200113703327422,0.5262380979641549,0.5992688952784028,0.5907834996664965,0.7738409047715854,0.9919995899036738,0.6096401328055725
cn2,0.07951312298444099,0.03649037550820503,0.003571200543607939,0.01046449206327891,0.03250979777488321,0.09576593896606937,0.024266988776973447,0.002669255240184163,0.004146530543823309,0.031712178381762574,0.30488554059349476,0.3650877419647507,0.41500909802453856,0.34273421166659823,0.35692914806234555,0.15932184414228703,0.00521286959772358,0.35391097681567446
en3,,,0.0026898757615257843,0.0034312249054923526,0.0030605503335090684,,,0.0022751759011364002,0.003077992108642477,0.0026765840048894388,,,,,,,0.0028685671691992534,
nn3,,,0.9837719667965258,0.9874891494882518,0.9856305581423888,,,0.988370269536972,0.99087018442565,0.989620226981311,,,,,,,0.9876253925618499,
cn3,,,0.013538161866550505,0.00907962727119568,0.011308894568873093,,,0.009354551155513651,0.006051822234314449,0.007703186694914051,,,,,,,0.00950604063189357,
