,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.0906763022521336,0.08818100450283964,0.0004944819862737884,0.00043531314240054003,0.04494677547091189,0.19227137383224907,0.1039730237483891,0.0003880079524939171,0.0003793309550583844,0.07425293412204761,0.0028124444596618016,0.001646618594763409,0.014203386554929373,0.003801465099953572,0.005615978677327039,0.08201958922503376,0.0011908696218239352,0.00042428350905665747,0.0027240418473584906
nn1,0.8972648472739384,0.909651704641059,0.9976953675209637,0.9978398624165304,0.9506129454631229,0.800045667798724,0.8911977806650102,0.9980756287843409,0.9985678817691475,0.9219717397543056,0.9760163350308195,0.971251552882181,0.9284817235318709,0.9146017921172985,0.9475878508905425,0.9004430098235702,0.9796720142484103,0.9980446851227457,0.9429266724997398
cn1,0.012058852204558207,0.0021672930962231478,0.0018101506300834598,0.0017248207933052667,0.0044402791810425205,0.007682955760072218,0.004829195595579222,0.001536360734001353,0.0010527917469956044,0.0037753259591620995,0.021171207568841055,0.027101827497641683,0.05731488842343236,0.08159674341524925,0.04679616672629109,0.017537398774784368,0.019137115802879436,0.001531030976096421,0.05434928545644547
en2,0.07217775333457394,0.06816735897882609,0.0004605718299707162,0.0003583051837832217,0.03529099733178849,0.08136563698960526,0.07079445254201709,0.0003128863990382278,0.00032459563602781695,0.0381993928916721,0.0028455967589484607,0.002039609448977651,0.004327777427173083,0.0056644848341196935,0.003719367117304722,0.049946429338523994,0.0015267422219862213,0.0003640897622049957,0.003852047141548672
nn2,0.9150229928707704,0.9286502868123353,0.9971260130405426,0.9979458800677595,0.959686293197852,0.9107883158428595,0.9219463471062481,0.9984194560789726,0.9987860902630049,0.9574850523227713,0.9440746054182106,0.9432306125209752,0.7847544055820292,0.899516358802549,0.892893995580941,0.9008728256054089,0.9725040684623006,0.99806935986257,0.9213734856617621
cn2,0.012799252850963967,0.0031823535506991904,0.002413413816535006,0.0016958156699948977,0.005022708972048265,0.007846047145547345,0.007259198655781802,0.001267655072143485,0.0008893151334005183,0.004315554001718287,0.053079802961524654,0.05472978418666488,0.21091781505157456,0.09481915663637351,0.1033866397090344,0.04918074503601525,0.02596919008585205,0.0015665499230184767,0.07477447041151919
en3,,,0.0005144888715913625,0.000363500713790237,0.0004389947926907997,,,0.00039839256320371697,0.00037381562037024134,0.00038610409178697913,,,,,,,0.0004125494422388894,0.0004125494422388894,
nn3,,,0.997135299192348,0.9978221618923647,0.9974787305423564,,,0.9982892404979383,0.9986879070257318,0.9984885737618351,,,,,,,0.9979836521520957,0.9979836521520957,
cn3,,,0.002350211919049247,0.0018143356147479139,0.00208227376689858,,,0.0013123636083139606,0.0009382764928259662,0.0011253200505699633,,,,,,,0.0016037969087342716,0.0016037969087342716,
