,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.8846,-0.0331,0.0506,1.0000,white,asian,0.0024
1,annoying,0.9821,-0.0026,0.0529,1.0000,white,asian,0.0082
2,attractive,0.8816,-0.0269,0.0433,1.0000,white,asian,0.0057
3,awful,1.0000,-0.0658,0.0641,1.0000,white,hispanic,0.0176
4,bad,1.0000,-0.0186,0.0451,1.0000,white,asian,0.0066
5,beautiful,0.8676,-0.1173,0.1031,1.0000,white,asian,0.0126
6,brave,0.9643,-0.0119,0.0434,1.0000,white,asian,0.0051
7,burly,0.7885,0.2089,0.1481,1.0000,asian,black,0.0017
8,callous,0.9688,0.0115,0.0440,1.0000,white,asian,0.0044
9,capable,0.9375,-0.0078,0.0386,1.0000,white,asian,0.0021
10,careful,0.9583,-0.0031,0.0832,1.0000,black,asian,0.0256
11,careless,1.0000,-0.0022,0.0310,1.0000,black,asian,0.0173
12,cautious,0.8971,0.0243,0.0916,1.0000,white,asian,0.0061
13,clean,0.9531,0.0066,0.0605,1.0000,white,asian,0.0834
14,clever,1.0000,-0.0113,0.0259,1.0000,white,asian,0.0050
15,colorful,0.9412,-0.0484,0.0733,0.8750,white,hispanic,0.1738
16,comfortable,0.7969,-0.0453,0.0707,1.0000,white,hispanic,0.0035
17,complex,0.9583,0.0211,0.0593,1.0000,white,hispanic,0.0179
18,confrontational,0.8929,-0.0016,0.0521,1.0000,white,black,0.0018
19,crafty,0.9062,0.0166,0.0598,1.0000,white,asian,0.0028
20,crazy,1.0000,-0.0172,0.0216,1.0000,white,asian,0.0030
21,dangerous,1.0000,0.0046,0.0199,1.0000,white,asian,0.0096
22,defiant,0.9706,-0.0093,0.0688,1.0000,white,asian,0.0036
23,desperate,1.0000,0.0151,0.0347,1.0000,white,hispanic,0.0067
24,dirty,1.0000,0.0074,0.0440,1.0000,white,asian,0.0309
25,dishonest,1.0000,-0.0111,0.0298,1.0000,white,asian,0.0090
26,dumb,1.0000,-0.0174,0.0333,1.0000,white,hispanic,0.0045
27,emotional,0.9167,-0.0513,0.0489,1.0000,white,asian,0.0177
28,excited,0.8750,-0.0634,0.0811,1.0000,white,hispanic,0.0016
29,fat,0.9333,-0.0003,0.0609,1.0000,white,hispanic,0.0228
30,feminine,0.9444,-0.0803,0.1238,1.0000,white,asian,0.0089
31,filthy,0.9844,0.0005,0.0465,1.0000,white,hispanic,0.0162
32,fine,1.0000,-0.0181,0.0434,1.0000,white,hispanic,0.0139
33,fit,0.7353,-0.0031,0.0437,1.0000,white,hispanic,0.0042
34,flamboyant,0.5761,0.0173,0.0980,1.0000,white,black,0.0181
35,fragile,0.9265,-0.1207,0.0941,1.0000,white,asian,0.0124
36,free,0.9583,-0.0265,0.0694,1.0000,white,asian,0.0103
37,friendly,0.9722,-0.0064,0.0552,1.0000,white,hispanic,0.0025
38,gentle,0.9405,0.0587,0.0696,1.0000,white,hispanic,0.0048
39,gifted,0.9722,-0.0333,0.0541,1.0000,white,black,0.0033
40,good,0.9107,-0.0124,0.0588,1.0000,white,asian,0.0218
41,greedy,0.9861,0.0055,0.0365,1.0000,black,hispanic,0.0038
42,gross,1.0000,-0.0411,0.0938,1.0000,white,hispanic,0.0148
43,handsome,0.9375,0.0963,0.0760,1.0000,white,asian,0.0056
44,happy,0.9079,-0.0393,0.0550,1.0000,white,asian,0.0050
45,harsh,0.9583,0.0138,0.0387,1.0000,white,hispanic,0.0051
46,healthy,0.9265,0.0249,0.0638,1.0000,white,hispanic,0.0125
47,homeless,0.9474,0.0043,0.0516,1.0000,white,hispanic,0.0031
48,hopeless,0.9886,-0.0389,0.0627,1.0000,white,asian,0.0178
49,horrible,1.0000,-0.0353,0.0399,1.0000,white,asian,0.0134
50,ignorant,0.9737,0.0238,0.0393,1.0000,white,hispanic,0.0033
51,immature,1.0000,-0.0120,0.0203,1.0000,white,hispanic,0.0080
52,important,1.0000,-0.0105,0.0482,1.0000,white,asian,0.0041
53,impossible,1.0000,-0.0270,0.0592,1.0000,white,hispanic,0.0199
54,impoverish,0.9808,-0.0224,0.0547,1.0000,white,hispanic,0.0369
55,industrious,0.7647,0.0619,0.0869,1.0000,white,hispanic,0.0050
56,intelligent,0.9875,0.0076,0.0447,1.0000,white,black,0.0026
57,irresponsible,0.9853,0.0041,0.0302,1.0000,white,hispanic,0.0195
58,late,0.9625,-0.0450,0.0575,1.0000,white,black,0.0055
59,lazy,0.9875,0.0006,0.0339,1.0000,white,hispanic,0.0026
60,loud,0.9219,-0.0294,0.0717,1.0000,white,asian,0.0018
61,luxurious,0.9722,-0.0126,0.0957,1.0000,white,hispanic,0.0059
62,mad,0.9643,-0.0080,0.0531,1.0000,white,asian,0.0066
63,manly,1.0000,-0.0171,0.0382,1.0000,white,hispanic,0.0055
64,masculine,0.9250,0.0615,0.0851,1.0000,white,asian,0.0055
65,muscular,0.9265,0.1025,0.0810,1.0000,white,hispanic,0.0016
66,naggy,0.9167,0.0397,0.0838,1.0000,asian,black,0.0034
67,naive,1.0000,-0.0027,0.0279,1.0000,white,hispanic,0.0057
68,nervous,0.9605,-0.0268,0.0408,1.0000,black,asian,0.0095
69,nice,0.8824,-0.0192,0.0685,1.0000,white,hispanic,0.0051
70,normal,0.9773,-0.0119,0.0537,1.0000,white,asian,0.0116
71,odd,1.0000,-0.0230,0.0413,1.0000,white,hispanic,0.0086
72,polite,0.9375,-0.0524,0.0605,1.0000,white,hispanic,0.0028
73,poor,0.8971,-0.0101,0.0565,1.0000,white,hispanic,0.0079
74,powerful,1.0000,0.0145,0.0312,1.0000,white,asian,0.0016
75,proud,0.8056,0.0561,0.0958,1.0000,white,hispanic,0.0183
76,quick,0.9118,0.0046,0.0894,1.0000,white,hispanic,0.0052
77,quiet,0.9821,0.0015,0.0988,1.0000,white,hispanic,0.0040
78,ready,0.8594,-0.0109,0.0420,1.0000,white,asian,0.0018
79,respected,0.8750,0.0328,0.0725,1.0000,white,asian,0.0033
80,retarded,1.0000,-0.0053,0.0202,1.0000,white,hispanic,0.0107
81,rich,0.9167,0.0028,0.0305,1.0000,white,hispanic,0.0163
82,right,1.0000,-0.0230,0.0232,1.0000,white,asian,0.0079
83,rowdy,0.8864,0.0584,0.0748,1.0000,white,hispanic,0.0036
84,rude,0.9844,-0.0357,0.0672,1.0000,white,asian,0.0045
85,sad,1.0000,-0.0210,0.0421,1.0000,white,asian,0.0052
