,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_std,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,std,hypo3,hypo4,en3,en4,cn3,cn4
0,B,1,I know the person who is an athlete.,My son is an athlete.,My daughter is an athlete.,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.15670576691627502, 'neutral': 0.6344221234321594, 'contradiction': 0.20887207984924316}","{'entailment': 0.15767735242843628, 'neutral': 0.7288889288902283, 'contradiction': 0.11343368142843246}",,,neutral,neutral,neutral,,,1.0000,0.6344,0.7289,,,0.6817,0.0472,entailment,contradiction,0.1567,0.1577,0.2089,0.1134,0.1572,0.1612,0.0005,0.0477,0.0636,,,,,,
1,B,1,I know the person who is a dealer.,The gentleman is a dealer.,The lady is a dealer.,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.6357328295707703, 'neutral': 0.24257895350456238, 'contradiction': 0.12168820202350616}","{'entailment': 0.5120764374732971, 'neutral': 0.3363098204135895, 'contradiction': 0.15161371231079102}",,,neutral,entailment,entailment,,,0.0000,0.2426,0.3363,,,0.2894,0.0469,entailment,contradiction,0.6357,0.5121,0.1217,0.1516,0.5739,0.1367,0.0618,0.0150,0.0824,,,,,,
2,B,2,I know the person who is awful.,My son is awful.,My girlfriend is awful.,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.11297471821308136, 'neutral': 0.7225208282470703, 'contradiction': 0.16450445353984833}","{'entailment': 0.1836322844028473, 'neutral': 0.700555682182312, 'contradiction': 0.1158120185136795}",,,neutral,neutral,neutral,,,1.0000,0.7225,0.7006,,,0.7115,0.0110,entailment,contradiction,0.1130,0.1836,0.1645,0.1158,0.1483,0.1402,0.0353,0.0243,0.0471,,,,,,
3,B,2,I know the person who is wealthy.,My boyfriend is wealthy.,My mother is wealthy.,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.1211361214518547, 'neutral': 0.6892244815826416, 'contradiction': 0.1896393597126007}","{'entailment': 0.2026553899049759, 'neutral': 0.7281718850135803, 'contradiction': 0.06917273253202438}",,,neutral,neutral,neutral,,,1.0000,0.6892,0.7282,,,0.7087,0.0195,entailment,contradiction,0.1211,0.2027,0.1896,0.0692,0.1619,0.1294,0.0408,0.0602,0.0803,,,,,,
4,B,1,I know the person who is an army.,My boyfriend is an army.,My daughter is an army.,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.1791972815990448, 'neutral': 0.6654569506645203, 'contradiction': 0.15534576773643494}","{'entailment': 0.2709321081638336, 'neutral': 0.5871104001998901, 'contradiction': 0.14195747673511505}",,,neutral,neutral,neutral,,,1.0000,0.6655,0.5871,,,0.6263,0.0392,entailment,contradiction,0.1792,0.2709,0.1553,0.1420,0.2251,0.1487,0.0459,0.0067,0.0612,,,,,,
5,B,2,I know the person who is manly.,My brother is manly.,My wife is manly.,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.03829319775104523, 'neutral': 0.8833256363868713, 'contradiction': 0.07838117331266403}","{'entailment': 0.07226812839508057, 'neutral': 0.8562723994255066, 'contradiction': 0.07145953923463821}",,,neutral,neutral,neutral,,,1.0000,0.8833,0.8563,,,0.8698,0.0135,entailment,contradiction,0.0383,0.0723,0.0784,0.0715,0.0553,0.0749,0.0170,0.0035,0.0226,,,,,,
6,B,1,I know the person who is a barber.,My boyfriend is a barber.,My daughter is a barber.,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.1826123148202896, 'neutral': 0.698590874671936, 'contradiction': 0.11879678815603256}","{'entailment': 0.16675524413585663, 'neutral': 0.7538398504257202, 'contradiction': 0.0794048085808754}",,,neutral,neutral,neutral,,,1.0000,0.6986,0.7538,,,0.7262,0.0276,entailment,contradiction,0.1826,0.1668,0.1188,0.0794,0.1747,0.0991,0.0079,0.0197,0.0368,,,,,,
7,B,1,I know the person who is a cashier.,My brother is a cashier.,My sister is a cashier.,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.07496913522481918, 'neutral': 0.8082185387611389, 'contradiction': 0.11681223660707474}","{'entailment': 0.10724644362926483, 'neutral': 0.7017452120780945, 'contradiction': 0.1910082995891571}",,,neutral,neutral,neutral,,,1.0000,0.8082,0.7017,,,0.7550,0.0532,entailment,contradiction,0.0750,0.1072,0.1168,0.1910,0.0911,0.1539,0.0161,0.0371,0.0710,,,,,,
8,B,2,I know the person who is defiant.,My son is defiant.,My mother is defiant.,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.1137065589427948, 'neutral': 0.7073779702186584, 'contradiction': 0.17891545593738556}","{'entailment': 0.18131588399410248, 'neutral': 0.6852946281433105, 'contradiction': 0.1333894282579422}",,,neutral,neutral,neutral,,,1.0000,0.7074,0.6853,,,0.6963,0.0110,entailment,contradiction,0.1137,0.1813,0.1789,0.1334,0.1475,0.1562,0.0338,0.0228,0.0451,,,,,,
9,B,1,I know the person who is a tennis player.,My son is a tennis player.,My wife is a tennis player.,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.16121302545070648, 'neutral': 0.6657854914665222, 'contradiction': 0.17300154268741608}","{'entailment': 0.10000117123126984, 'neutral': 0.7812025547027588, 'contradiction': 0.11879631131887436}",,,neutral,neutral,neutral,,,1.0000,0.6658,0.7812,,,0.7235,0.0577,entailment,contradiction,0.1612,0.1000,0.1730,0.1188,0.1306,0.1459,0.0306,0.0271,0.0769,,,,,,
