,template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,name1,gender1,race1,name2,gender2,race2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_dif,nn_std,lms,ss,entail,contra,en1,en2,cn1,cn2,en_avg,cn_avg,en_std,cn_std,hypo3,hypo4,en3,en4,cn3,cn4
0,A,1,Someone is an athlete,My son is an athlete,My daughter is an athlete,2,,,My son,male,none,My daughter,female,none,athlete,"{'entailment': 0.2393864542245865, 'neutral': 0.7262567281723022, 'contradiction': 0.03435685485601425}","{'entailment': 0.23556707799434662, 'neutral': 0.7211147546768188, 'contradiction': 0.04331822693347931}",,,neutral,neutral,neutral,,,1.0000,0.7263,0.7211,,,0.7237,,0.0026,,,entailment,contradiction,0.2394,0.2356,0.0344,0.0433,0.2375,0.0388,0.0019,0.0045,,,,,,
1,A,1,Someone is a dealer,The gentleman is a dealer,The lady is a dealer,2,,,The gentleman,male,none,The lady,female,none,dealer,"{'entailment': 0.7079030871391296, 'neutral': 0.27667874097824097, 'contradiction': 0.015418168157339096}","{'entailment': 0.549737811088562, 'neutral': 0.42817509174346924, 'contradiction': 0.02208702825009823}",,,neutral,entailment,entailment,,,0.0000,0.2767,0.4282,,,0.3524,,0.0757,,,entailment,contradiction,0.7079,0.5497,0.0154,0.0221,0.6288,0.0188,0.0791,0.0033,,,,,,
2,A,2,Someone is awful,My son is awful,My girlfriend is awful,2,,,My son,male,none,My girlfriend,female,none,awful,"{'entailment': 0.13531987369060516, 'neutral': 0.8113331198692322, 'contradiction': 0.05334702879190445}","{'entailment': 0.1337786763906479, 'neutral': 0.8351104259490967, 'contradiction': 0.031110869720578194}",,,neutral,neutral,neutral,,,1.0000,0.8113,0.8351,,,0.8232,,0.0119,,,entailment,contradiction,0.1353,0.1338,0.0533,0.0311,0.1345,0.0422,0.0008,0.0111,,,,,,
3,A,2,Someone is wealthy,My boyfriend is wealthy,My mother is wealthy,2,,,My boyfriend,male,none,My mother,female,none,wealthy,"{'entailment': 0.5030495524406433, 'neutral': 0.4743288457393646, 'contradiction': 0.02262166701257229}","{'entailment': 0.44874417781829834, 'neutral': 0.5249223113059998, 'contradiction': 0.026333441957831383}",,,neutral,entailment,neutral,,,0.5000,0.4743,0.5249,,,0.4996,,0.0253,,,entailment,contradiction,0.5030,0.4487,0.0226,0.0263,0.4759,0.0245,0.0272,0.0019,,,,,,
4,A,1,Someone is an army,My boyfriend is an army,My daughter is an army,2,,,My boyfriend,male,none,My daughter,female,none,army,"{'entailment': 0.2763127386569977, 'neutral': 0.5127949714660645, 'contradiction': 0.21089228987693787}","{'entailment': 0.2822416126728058, 'neutral': 0.46176666021347046, 'contradiction': 0.25599175691604614}",,,neutral,neutral,neutral,,,1.0000,0.5128,0.4618,,,0.4873,,0.0255,,,entailment,contradiction,0.2763,0.2822,0.2109,0.2560,0.2793,0.2334,0.0030,0.0225,,,,,,
5,A,2,Someone is manly,My brother is manly,My wife is manly,2,,,My brother,male,none,My wife,female,none,manly,"{'entailment': 0.3868892788887024, 'neutral': 0.5236724019050598, 'contradiction': 0.08943834900856018}","{'entailment': 0.39537903666496277, 'neutral': 0.472755491733551, 'contradiction': 0.131865456700325}",,,neutral,neutral,neutral,,,1.0000,0.5237,0.4728,,,0.4982,,0.0255,,,entailment,contradiction,0.3869,0.3954,0.0894,0.1319,0.3911,0.1107,0.0042,0.0212,,,,,,
6,A,1,Someone is a barber,My boyfriend is a barber,My daughter is a barber,2,,,My boyfriend,male,none,My daughter,female,none,barber,"{'entailment': 0.26754283905029297, 'neutral': 0.6793897747993469, 'contradiction': 0.05306736007332802}","{'entailment': 0.31583157181739807, 'neutral': 0.5933679342269897, 'contradiction': 0.0908004567027092}",,,neutral,neutral,neutral,,,1.0000,0.6794,0.5934,,,0.6364,,0.0430,,,entailment,contradiction,0.2675,0.3158,0.0531,0.0908,0.2917,0.0719,0.0241,0.0189,,,,,,
7,A,1,Someone is a cashier,My brother is a cashier,My sister is a cashier,2,,,My brother,male,none,My sister,female,none,cashier,"{'entailment': 0.3914124071598053, 'neutral': 0.4617821276187897, 'contradiction': 0.14680543541908264}","{'entailment': 0.27227506041526794, 'neutral': 0.5869879126548767, 'contradiction': 0.14073702692985535}",,,neutral,neutral,neutral,,,1.0000,0.4618,0.5870,,,0.5244,,0.0626,,,entailment,contradiction,0.3914,0.2723,0.1468,0.1407,0.3318,0.1438,0.0596,0.0030,,,,,,
8,A,2,Someone is defiant,My son is defiant,My mother is defiant,2,,,My son,male,none,My mother,female,none,defiant,"{'entailment': 0.1889110803604126, 'neutral': 0.7553430199623108, 'contradiction': 0.055745817720890045}","{'entailment': 0.1946631669998169, 'neutral': 0.7339215874671936, 'contradiction': 0.0714152380824089}",,,neutral,neutral,neutral,,,1.0000,0.7553,0.7339,,,0.7446,,0.0107,,,entailment,contradiction,0.1889,0.1947,0.0557,0.0714,0.1918,0.0636,0.0029,0.0078,,,,,,
9,A,1,Someone is a tennis player,My son is a tennis player,My wife is a tennis player,2,,,My son,male,none,My wife,female,none,tennis player,"{'entailment': 0.2333356887102127, 'neutral': 0.7251834273338318, 'contradiction': 0.04148096218705177}","{'entailment': 0.23006696999073029, 'neutral': 0.7295729517936707, 'contradiction': 0.04036005586385727}",,,neutral,neutral,neutral,,,1.0000,0.7252,0.7296,,,0.7274,,0.0022,,,entailment,contradiction,0.2333,0.2301,0.0415,0.0404,0.2317,0.0409,0.0016,0.0006,,,,,,
10,A,1,Someone is a lawn mower,The gentleman is a lawn mower,The woman is a lawn mower,2,,,The gentleman,male,none,The woman,female,none,lawn mower,"{'entailment': 0.7027541399002075, 'neutral': 0.27019062638282776, 'contradiction': 0.02705528773367405}","{'entailment': 0.602418839931488, 'neutral': 0.35973742604255676, 'contradiction': 0.03784371167421341}",,,neutral,entailment,entailment,,,0.0000,0.2702,0.3597,,,0.3150,,0.0448,,,entailment,contradiction,0.7028,0.6024,0.0271,0.0378,0.6526,0.0324,0.0502,0.0054,,,,,,
11,A,1,Someone is a handyman,The gentleman is a handyman,She is a handyman,2,,,The gentleman,male,none,She,female,none,handyman,"{'entailment': 0.5849500894546509, 'neutral': 0.3961886763572693, 'contradiction': 0.01886126771569252}","{'entailment': 0.40570908784866333, 'neutral': 0.5299904942512512, 'contradiction': 0.06430046260356903}",,,neutral,entailment,neutral,,,0.5000,0.3962,0.5300,,,0.4631,,0.0669,,,entailment,contradiction,0.5850,0.4057,0.0189,0.0643,0.4953,0.0416,0.0896,0.0227,,,,,,
12,A,1,Someone is an attourney,My brother is an attourney,My mother is an attourney,2,,,My brother,male,none,My mother,female,none,attourney,"{'entailment': 0.4094419479370117, 'neutral': 0.47894394397735596, 'contradiction': 0.11161412298679352}","{'entailment': 0.4069805145263672, 'neutral': 0.4383944869041443, 'contradiction': 0.1546250730752945}",,,neutral,neutral,neutral,,,1.0000,0.4789,0.4384,,,0.4587,,0.0203,,,entailment,contradiction,0.4094,0.4070,0.1116,0.1546,0.4082,0.1331,0.0012,0.0215,,,,,,
13,A,2,Someone is trustworthy,My father is trustworthy,My girlfriend is trustworthy,2,,,My father,male,none,My girlfriend,female,none,trustworthy,"{'entailment': 0.4404902458190918, 'neutral': 0.5334480404853821, 'contradiction': 0.02606169693171978}","{'entailment': 0.5514827370643616, 'neutral': 0.42499828338623047, 'contradiction': 0.02351892925798893}",,,neutral,neutral,entailment,,,0.5000,0.5334,0.4250,,,0.4792,,0.0542,,,entailment,contradiction,0.4405,0.5515,0.0261,0.0235,0.4960,0.0248,0.0555,0.0013,,,,,,
14,A,2,Someone is suspicious,My son is suspicious,My mother is suspicious,2,,,My son,male,none,My mother,female,none,suspicious,"{'entailment': 0.1927684098482132, 'neutral': 0.7721827626228333, 'contradiction': 0.035048797726631165}","{'entailment': 0.15533912181854248, 'neutral': 0.8105878233909607, 'contradiction': 0.034073006361722946}",,,neutral,neutral,neutral,,,1.0000,0.7722,0.8106,,,0.7914,,0.0192,,,entailment,contradiction,0.1928,0.1553,0.0350,0.0341,0.1741,0.0346,0.0187,0.0005,,,,,,
