,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.6825004382920451,0.8272576083466411,0.2999266051280666,0.2301577553153038,0.5099606017705142,0.8177053121775388,0.8030857092440128,0.47278124985980313,0.32472986358635386,0.6045755337169272,0.559046368377204,0.32157591958292125,0.35254496259832263,0.21429210525579426,0.36186483895356053,0.6736900665059607,0.33189886847238187,0.26793401241935777
nn1,0.29382432786747814,0.16712314382381738,0.5862479726193657,0.7376309522780878,0.4462065991471873,0.1805527749788016,0.19384163459111006,0.5202102381998385,0.6589345668667349,0.38838480365912126,0.3871680318992189,0.5924251923252913,0.5854515911595635,0.7282553068433744,0.573325030556862,0.3013269173866649,0.6257559324910067,0.6603402495843329
cn1,0.02367523413087474,0.005619246724221739,0.1138254214327415,0.03221129428129643,0.04383279914228361,0.001741914905127487,0.0030726556713343597,0.007008508154400952,0.016335569435513803,0.00703966204159415,0.053785603686651966,0.08599889611683796,0.0620034467593684,0.05745258817297908,0.06481013368395935,0.024983016979596446,0.042345198325988175,0.07172574214490852
en2,0.6087469780982938,0.8026615423448383,0.4535173367394108,0.3879586026586335,0.5632211149602941,0.7410356706231832,0.7601722235381603,0.5240506464746636,0.4378461730505886,0.6157761784216489,0.5439173113647601,0.29562791322380444,0.32590620356615757,0.1899518364433356,0.33885081614951446,0.6304066549225655,0.45084318973082416,0.24278987483357
nn2,0.35370139369368553,0.18986759583838284,0.4875152058584589,0.5734923452395817,0.4011441351575272,0.2558639596719295,0.23546773042529823,0.4466400288150344,0.514729547603377,0.3631753166289098,0.39440879574481474,0.5799444133669815,0.5868490195779268,0.7490154096573309,0.5775544095867635,0.3360264158253396,0.5055942818791129,0.6644799115121562
cn2,0.03755162906437181,0.007470860916684615,0.05896745493609301,0.03854905066064334,0.0356347488944482,0.0031003666250617244,0.004360045424764394,0.029309319673289716,0.04742427135352045,0.02104850076915907,0.06167390429850747,0.12442767196096777,0.0872447724917842,0.06103275628028627,0.08359477625788642,0.03356692980352904,0.04356252415588663,0.09273021412062701
en3,,,0.4077887889260138,0.49356621279027957,0.4506775008581467,,,0.750561664641743,0.7019438512366394,0.7262527579391912,,,,,,,0.5884651293986689,
nn3,,,0.35799039092282176,0.4751703279285595,0.4165803594256906,,,0.23721939409282847,0.2811808006773735,0.25920009738510097,,,,,,,0.3378902284053958,
cn3,,,0.23422081369093398,0.031263460309830786,0.13274213700038237,,,0.012218939308503407,0.016875349856302912,0.014547144582403158,,,,,,,0.07364464079139277,
en4,,,0.6387288436083727,0.6816547253522379,0.6601917844803054,,,0.798028106210937,0.7966082301633112,0.7973181681871241,,,,,,,0.7287549763337147,
nn4,,,0.3182244306089173,0.30583155652957744,0.3120279935692474,,,0.19870175914445393,0.1980256190009672,0.19836368907271057,,,,,,,0.255195841320979,
cn4,,,0.04304672973427239,0.012513728684882215,0.027780229209577303,,,0.0032701336780340006,0.005366149824865339,0.00431814175144967,,,,,,,0.016049185480513487,
en_avg,0.6456237081951695,0.8149595753457397,0.44999039360046594,0.4483343240291137,0.5897270002926221,0.7793704914003611,0.7816289663910866,0.6363554167967866,0.5652820295092232,0.6906592260243645,0.551481839870982,0.3086019164033628,0.3392255830822401,0.20212197084956493,0.3503578275515375,0.6520483607142632,0.5249905409838974,0.25536194362646386
nn_avg,0.3237628607805818,0.1784953698311001,0.43749450000239093,0.5230312954939517,0.36569600652700607,0.21820836732536555,0.21465468250820413,0.3506928550630388,0.41321763353711316,0.2991933846084304,0.39078841382201684,0.5861848028461364,0.5861503053687451,0.7386353582503526,0.5754397200718128,0.31867666660600225,0.43110907102412366,0.6624100805482445
cn_avg,0.030613431597623277,0.006545053820453177,0.11251510494851022,0.02863438348416319,0.04457699346268747,0.0024211407650946057,0.003716350548049377,0.01295172520355702,0.021500335117550628,0.010147387908562906,0.05772975399257972,0.10521328403890286,0.0746241096255763,0.059242672226632674,0.07420245497092288,0.029274973391562747,0.043900387188445265,0.08222797813276776
en_std,0.053533679050276985,0.02176733293570578,0.13905997709597043,0.17386643779503458,0.09705685671924694,0.04733463878929615,0.03742978857457638,0.14952487738175815,0.19600193894469894,0.1075728109225824,0.07465040047951489,0.07921584337650116,0.11282853042530781,0.09073695363288413,0.089357931978552,0.057924061709112996,0.16461330780436553,0.08497639850469264
nn_std,0.04442667791433633,0.02070739632844925,0.12327204838150882,0.16797829078595744,0.08909610335256296,0.04672211939282715,0.036750417055096476,0.14512638819086596,0.18811576805014016,0.10417867317223244,0.05196419128395142,0.09490683107552203,0.12506872186945242,0.10654211930356172,0.0946204658831219,0.05427325397401884,0.1561231238521181,0.10072447518954188
